Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030595	27	3	1	18	1	2	14	5	1	9	1	2	5.46	7	4	0.67	-0.577	-0.533	0.593751045862422	NA	0.7668	0.5899	0.6548	0.6548	TRUE	0.6924
FBgn0030596	58	15	17	37	11	12	29	23	24	19	15	15	20.97	25	16	0.639	-0.646	-1.413	0.157532305219168	0.531090175089754	0	0.163	0.0999	0.0999	TRUE	0.1531
FBgn0030597	31	9	5	20	8	6	16	14	7	10	11	7	10.92	12	9	0.765	-0.386	-0.602	0.547423285928769	0.867906587356274	0	0.3011	0.2015	0.2015	TRUE	0.4068
FBgn0030598	32	8	12	143	55	47	16	13	17	73	77	58	42.2	15	69	4.485	2.165	5.833	5.45013881870223e-09	3.01517928311682e-07	0	0.0875	0.0584	0.0584	TRUE	0.1698
FBgn0030599	10	3	2	0	0	4	5	5	3	0	0	5	2.91	4	2	0.355	-1.496	-1.001	0.317047041858742	NA	1.3529	1.0939	1.1489	1.1489	TRUE	1.9065
FBgn0030600	4452	2012	1933	4490	2108	2202	2242	3144	2754	2290	2948	2699	2679.66	2713	2646	0.975	-0.036	-0.229	0.818957245223732	0.960802063836006	0.022	0.014	0.0174	0.0174	TRUE	0.267
FBgn0030603	1210	412	441	1104	489	566	609	644	628	563	684	694	637.06	627	647	1.029	0.041	0.288	0.773045418838672	0.946161451876938	0.0064	0.0178	0.0126	0.0126	TRUE	0.1654
FBgn0030605	1213	449	543	1045	482	601	611	702	774	533	674	737	671.67	696	648	0.931	-0.103	-0.619	0.535983187660556	0.864465431449519	0.0197	0.0175	0.0184	0.0184	TRUE	0.3047
FBgn0030607	47	18	14	59	12	28	24	28	20	30	17	34	25.49	24	27	1.149	0.201	0.453	0.650501760626763	0.909760088661635	0.0164	0.1364	0.1001	0.1001	TRUE	0.51
FBgn0030608	4	2	1	9	2	2	2	3	1	5	3	2	2.73	2	3	1.576	0.656	0.54	0.589180312521283	NA	0	1.1647	0.6697	0.6697	TRUE	0.3469
